,position,text
0,0,burst
1,0,burst
2,0,burst
3,0,burst
4,0,burst
5,0,jubatus
6,0,jubatus
7,0,jubatus
8,0,jubatus
9,0,jubatus
10,0,jubatus
11,0,jubatus
12,0,jubatus
13,0,jubatus
14,0,jubatus
15,0,jubatus
16,0,jubatus
17,0,jubatus
18,0,jubatus
19,0,jubatus
20,0,jubatus
21,0,jubatus
22,0,jubatus
23,0,jubatus
24,0,jubatus
25,0,jubatus
26,0,jubatus
27,0,jubatus
28,0,jubatus
29,0,jubatus
30,0,jubatus
31,0,jubatus
32,0,jubatus
33,0,jubatus
34,0,jubatus
35,10,burst
36,10,burst
37,10,burst
38,10,burst
39,10,burst
40,10,burst
41,10,burst
42,10,burst
43,10,burst
44,10,burst
45,10,burst
46,10,burst
47,10,burst
48,10,burst
49,10,burst
50,10,jubatus
51,10,jubatus
52,10,jubatus
53,10,jubatus
54,10,jubatus
55,10,jubatus
56,10,jubatus
57,10,jubatus
58,10,jubatus
59,10,jubatus
60,10,jubatus
61,10,jubatus
62,10,jubatus
63,10,jubatus
64,10,jubatus
65,10,jubatus
66,10,jubatus
67,10,jubatus
68,10,jubatus
69,10,jubatus
70,10,jubatus
71,10,jubatus
72,10,jubatus
73,10,jubatus
74,10,jubatus
75,10,jubatus
76,10,jubatus
77,10,jubatus
78,10,jubatus
79,10,jubatus
80,10,jubatus
81,10,jubatus
82,10,jubatus
83,10,jubatus
84,10,jubatus
85,10,jubatus
86,10,jubatus
87,10,jubatus
88,10,jubatus
89,10,jubatus
90,10,jubatus
91,10,jubatus
92,10,jubatus
93,10,jubatus
94,10,jubatus
95,10,jubatus
96,10,jubatus
97,10,jubatus
98,10,jubatus
99,10,jubatus
100,20,burst
101,20,burst
102,20,burst
103,20,burst
104,20,burst
105,20,burst
106,20,burst
107,20,burst
108,20,burst
109,20,burst
110,20,burst
111,20,burst
112,20,burst
113,20,burst
114,20,burst
115,20,burst
116,20,burst
117,20,burst
118,20,burst
119,20,burst
120,20,burst
121,20,burst
122,20,burst
123,20,burst
124,20,burst
125,20,burst
126,20,burst
127,20,burst
128,20,burst
129,20,burst
130,20,burst
131,20,burst
132,20,burst
133,20,burst
134,20,burst
135,20,burst
136,20,burst
137,20,burst
138,20,burst
139,20,burst
140,20,burst
141,20,burst
142,20,burst
143,20,burst
144,20,burst
145,20,burst
146,20,burst
147,20,burst
148,20,burst
149,20,burst
150,20,burst
151,20,burst
152,20,burst
153,20,burst
154,20,burst
155,20,burst
156,20,burst
157,20,burst
158,20,burst
159,20,burst
160,20,burst
161,20,burst
162,20,burst
163,20,burst
164,20,burst
165,20,burst
166,20,burst
167,20,burst
168,20,burst
169,20,burst
170,20,burst
171,20,burst
172,20,burst
173,20,burst
174,20,burst
175,20,burst
176,20,burst
177,20,burst
178,20,burst
179,20,burst
180,20,burst
181,20,burst
182,20,burst
183,20,burst
184,20,burst
185,20,burst
186,20,burst
187,20,burst
188,20,burst
189,20,burst
190,20,burst
191,20,burst
192,20,burst
193,20,burst
194,20,burst
195,20,burst
196,20,burst
197,20,burst
198,20,burst
199,20,burst
200,20,burst
201,20,burst
202,20,burst
203,20,burst
204,20,burst
205,20,burst
206,20,burst
207,20,burst
208,20,burst
209,20,burst
210,20,burst
211,20,burst
212,20,burst
213,20,burst
214,20,burst
215,20,burst
216,20,burst
217,20,burst
218,20,burst
219,20,burst
220,20,burst
221,20,burst
222,20,burst
223,20,burst
224,20,burst
225,20,burst
226,20,burst
227,20,burst
228,20,burst
229,20,burst
230,20,burst
231,20,burst
232,20,burst
233,20,burst
234,20,burst
235,20,burst
236,20,burst
237,20,burst
238,20,burst
239,20,burst
240,20,burst
241,20,burst
242,20,burst
243,20,burst
244,20,burst
245,20,burst
246,20,burst
247,20,burst
248,20,burst
249,20,burst
250,20,burst
251,20,burst
252,20,burst
253,20,burst
254,20,burst
255,20,burst
256,20,burst
257,20,burst
258,20,burst
259,20,burst
260,20,burst
261,20,burst
262,20,burst
263,20,burst
264,20,burst
265,20,burst
266,20,burst
267,20,burst
268,20,burst
269,20,burst
270,20,burst
271,20,burst
272,20,burst
273,20,burst
274,20,burst
275,20,burst
276,20,burst
277,20,burst
278,20,burst
279,20,burst
280,20,burst
281,20,burst
282,20,burst
283,20,burst
284,20,burst
285,20,burst
286,20,burst
287,20,burst
288,20,burst
289,20,burst
290,20,burst
291,20,burst
292,20,burst
293,20,burst
294,20,burst
295,20,burst
296,20,burst
297,20,burst
298,20,burst
299,20,burst
300,20,burst
301,20,burst
302,20,burst
303,20,burst
304,20,burst
305,20,burst
306,20,burst
307,20,burst
308,20,burst
309,20,burst
310,20,burst
311,20,burst
312,20,burst
313,20,burst
314,20,burst
315,20,burst
316,20,burst
317,20,burst
318,20,burst
319,20,burst
320,20,burst
321,20,burst
322,20,burst
323,20,burst
324,20,burst
325,20,burst
326,20,burst
327,20,burst
328,20,burst
329,20,burst
330,20,burst
331,20,burst
332,20,burst
333,20,burst
334,20,burst
335,20,burst
336,20,burst
337,20,burst
338,20,burst
339,20,burst
340,20,burst
341,20,burst
342,20,burst
343,20,burst
344,20,burst
345,20,burst
346,20,burst
347,20,burst
348,20,burst
349,20,burst
350,20,burst
351,20,burst
352,20,burst
353,20,burst
354,20,burst
355,20,burst
356,20,burst
357,20,burst
358,20,burst
359,20,burst
360,20,burst
361,20,burst
362,20,burst
363,20,burst
364,20,burst
365,20,burst
366,20,burst
367,20,burst
368,20,burst
369,20,burst
370,20,burst
371,20,burst
372,20,burst
373,20,burst
374,20,burst
375,20,burst
376,20,burst
377,20,burst
378,20,burst
379,20,burst
380,20,burst
381,20,burst
382,20,burst
383,20,burst
384,20,burst
385,20,burst
386,20,burst
387,20,burst
388,20,burst
389,20,burst
390,20,burst
391,20,burst
392,20,burst
393,20,burst
394,20,burst
395,20,burst
396,20,burst
397,20,burst
398,20,burst
399,20,burst
400,20,burst
401,20,burst
402,20,burst
403,20,burst
404,20,burst
405,20,burst
406,20,burst
407,20,burst
408,20,burst
409,20,burst
410,20,burst
411,20,burst
412,20,burst
413,20,burst
414,20,burst
415,20,burst
416,20,burst
417,20,burst
418,20,burst
419,20,burst
420,20,burst
421,20,burst
422,20,burst
423,20,burst
424,20,burst
425,20,burst
426,20,burst
427,20,burst
428,20,burst
429,20,burst
430,20,burst
431,20,burst
432,20,burst
433,20,burst
434,20,burst
435,20,burst
436,20,burst
437,20,burst
438,20,burst
439,20,burst
440,20,burst
441,20,burst
442,20,burst
443,20,burst
444,20,burst
445,20,burst
446,20,burst
447,20,burst
448,20,burst
449,20,burst
450,20,burst
451,20,burst
452,20,burst
453,20,burst
454,20,burst
455,20,burst
456,20,burst
457,20,burst
458,20,burst
459,20,burst
460,20,burst
461,20,burst
462,20,burst
463,20,burst
464,20,burst
465,20,burst
466,20,burst
467,20,burst
468,20,burst
469,20,burst
470,20,burst
471,20,burst
472,20,burst
473,20,burst
474,20,burst
475,20,burst
476,20,burst
477,20,burst
478,20,burst
479,20,burst
480,20,burst
481,20,burst
482,20,burst
483,20,burst
484,20,burst
485,20,burst
486,20,burst
487,20,burst
488,20,burst
489,20,burst
490,20,burst
491,20,burst
492,20,burst
493,20,burst
494,20,burst
495,20,burst
496,20,burst
497,20,burst
498,20,burst
499,20,burst
500,20,burst
501,20,burst
502,20,burst
503,20,burst
504,20,burst
505,20,burst
506,20,burst
507,20,burst
508,20,burst
509,20,burst
510,20,burst
511,20,burst
512,20,burst
513,20,burst
514,20,burst
515,20,burst
516,20,burst
517,20,burst
518,20,burst
519,20,burst
520,20,burst
521,20,burst
522,20,burst
523,20,burst
524,20,burst
525,20,burst
526,20,burst
527,20,burst
528,20,burst
529,20,burst
530,20,burst
531,20,burst
532,20,burst
533,20,burst
534,20,burst
535,20,burst
536,20,burst
537,20,burst
538,20,burst
539,20,burst
540,20,burst
541,20,burst
542,20,burst
543,20,burst
544,20,burst
545,20,burst
546,20,burst
547,20,burst
548,20,burst
549,20,burst
550,20,burst
551,20,burst
552,20,burst
553,20,burst
554,20,burst
555,20,burst
556,20,burst
557,20,burst
558,20,burst
559,20,burst
560,20,burst
561,20,burst
562,20,burst
563,20,burst
564,20,burst
565,20,burst
566,20,burst
567,20,burst
568,20,burst
569,20,burst
570,20,burst
571,20,burst
572,20,burst
573,20,burst
574,20,burst
575,20,burst
576,20,burst
577,20,burst
578,20,burst
579,20,burst
580,20,burst
581,20,burst
582,20,burst
583,20,burst
584,20,burst
585,20,burst
586,20,burst
587,20,burst
588,20,burst
589,20,burst
590,20,burst
591,20,burst
592,20,burst
593,20,burst
594,20,burst
595,20,burst
596,20,burst
597,20,burst
598,20,burst
599,20,burst
600,20,jubatus
601,20,jubatus
602,20,jubatus
603,20,jubatus
604,20,jubatus
605,20,jubatus
606,20,jubatus
607,20,jubatus
608,20,jubatus
609,20,jubatus
610,30,burst
611,30,burst
612,30,burst
613,30,burst
614,30,burst
615,30,burst
616,30,burst
617,30,burst
618,30,burst
619,30,burst
620,30,burst
621,30,burst
622,30,burst
623,30,burst
624,30,burst
625,30,burst
626,30,burst
627,30,burst
628,30,burst
629,30,burst
630,30,burst
631,30,burst
632,30,burst
633,30,burst
634,30,burst
635,30,burst
636,30,burst
637,30,burst
638,30,burst
639,30,burst
640,30,burst
641,30,burst
642,30,burst
643,30,burst
644,30,burst
645,30,burst
646,30,burst
647,30,burst
648,30,burst
649,30,burst
650,30,burst
651,30,burst
652,30,burst
653,30,burst
654,30,burst
655,30,burst
656,30,burst
657,30,burst
658,30,burst
659,30,burst
660,30,burst
661,30,burst
662,30,burst
663,30,burst
664,30,burst
665,30,burst
666,30,burst
667,30,burst
668,30,burst
669,30,burst
670,30,burst
671,30,burst
672,30,burst
673,30,burst
674,30,burst
675,30,burst
676,30,burst
677,30,burst
678,30,burst
679,30,burst
680,30,burst
681,30,burst
682,30,burst
683,30,burst
684,30,burst
685,30,burst
686,30,burst
687,30,burst
688,30,burst
689,30,burst
690,30,burst
691,30,burst
692,30,burst
693,30,burst
694,30,burst
695,30,burst
696,30,burst
697,30,burst
698,30,burst
699,30,burst
700,30,burst
701,30,burst
702,30,burst
703,30,burst
704,30,burst
705,30,burst
706,30,burst
707,30,burst
708,30,burst
709,30,burst
710,30,burst
711,30,burst
712,30,burst
713,30,burst
714,30,burst
715,30,burst
716,30,burst
717,30,burst
718,30,burst
719,30,burst
720,30,burst
721,30,burst
722,30,burst
723,30,burst
724,30,burst
725,30,burst
726,30,burst
727,30,burst
728,30,burst
729,30,burst
730,30,burst
731,30,burst
732,30,burst
733,30,burst
734,30,burst
735,30,burst
736,30,burst
737,30,burst
738,30,burst
739,30,burst
740,30,burst
741,30,burst
742,30,burst
743,30,burst
744,30,burst
745,30,burst
746,30,burst
747,30,burst
748,30,burst
749,30,burst
750,30,burst
751,30,burst
752,30,burst
753,30,burst
754,30,burst
755,30,burst
756,30,burst
757,30,burst
758,30,burst
759,30,burst
760,30,burst
761,30,burst
762,30,burst
763,30,burst
764,30,burst
765,30,burst
766,30,burst
767,30,burst
768,30,burst
769,30,burst
770,30,burst
771,30,burst
772,30,burst
773,30,burst
774,30,burst
775,30,burst
776,30,burst
777,30,burst
778,30,burst
779,30,burst
780,30,burst
781,30,burst
782,30,burst
783,30,burst
784,30,burst
785,30,burst
786,30,burst
787,30,burst
788,30,burst
789,30,burst
790,30,burst
791,30,burst
792,30,burst
793,30,burst
794,30,burst
795,30,burst
796,30,burst
797,30,burst
798,30,burst
799,30,burst
800,30,burst
801,30,burst
802,30,burst
803,30,burst
804,30,burst
805,30,burst
806,30,burst
807,30,burst
808,30,burst
809,30,burst
810,30,burst
811,30,burst
812,30,burst
813,30,burst
814,30,burst
815,30,burst
816,30,burst
817,30,burst
818,30,burst
819,30,burst
820,30,burst
821,30,burst
822,30,burst
823,30,burst
824,30,burst
825,30,burst
826,30,burst
827,30,burst
828,30,burst
829,30,burst
830,30,burst
831,30,burst
832,30,burst
833,30,burst
834,30,burst
835,30,burst
836,30,burst
837,30,burst
838,30,burst
839,30,burst
840,30,burst
841,30,burst
842,30,burst
843,30,burst
844,30,burst
845,30,burst
846,30,burst
847,30,burst
848,30,burst
849,30,burst
850,30,burst
851,30,burst
852,30,burst
853,30,burst
854,30,burst
855,30,burst
856,30,burst
857,30,burst
858,30,burst
859,30,burst
860,30,burst
861,30,burst
862,30,burst
863,30,burst
864,30,burst
865,30,burst
866,30,burst
867,30,burst
868,30,burst
869,30,burst
870,30,burst
871,30,burst
872,30,burst
873,30,burst
874,30,burst
875,30,burst
876,30,burst
877,30,burst
878,30,burst
879,30,burst
880,30,burst
881,30,burst
882,30,burst
883,30,burst
884,30,burst
885,30,burst
886,30,burst
887,30,burst
888,30,burst
889,30,burst
890,30,burst
891,30,burst
892,30,burst
893,30,burst
894,30,burst
895,30,burst
896,30,burst
897,30,burst
898,30,burst
899,30,burst
900,30,burst
901,30,burst
902,30,burst
903,30,burst
904,30,burst
905,30,burst
906,30,burst
907,30,burst
908,30,burst
909,30,burst
910,30,burst
911,30,burst
912,30,burst
913,30,burst
914,30,burst
915,30,burst
916,30,burst
917,30,burst
918,30,burst
919,30,burst
920,30,burst
921,30,burst
922,30,burst
923,30,burst
924,30,burst
925,30,burst
926,30,burst
927,30,burst
928,30,burst
929,30,burst
930,30,burst
931,30,burst
932,30,burst
933,30,burst
934,30,burst
935,30,burst
936,30,burst
937,30,burst
938,30,burst
939,30,burst
940,30,burst
941,30,burst
942,30,burst
943,30,burst
944,30,burst
945,30,burst
946,30,burst
947,30,burst
948,30,burst
949,30,burst
950,30,burst
951,30,burst
952,30,burst
953,30,burst
954,30,burst
955,30,burst
956,30,burst
957,30,burst
958,30,burst
959,30,burst
960,30,burst
961,30,burst
962,30,burst
963,30,burst
964,30,burst
965,30,burst
966,30,burst
967,30,burst
968,30,burst
969,30,burst
970,30,burst
971,30,burst
972,30,burst
973,30,burst
974,30,burst
975,30,burst
976,30,burst
977,30,burst
978,30,burst
979,30,burst
980,30,burst
981,30,burst
982,30,burst
983,30,burst
984,30,burst
985,30,burst
986,30,burst
987,30,burst
988,30,burst
989,30,burst
990,30,burst
991,30,burst
992,30,burst
993,30,burst
994,30,burst
995,30,burst
996,30,burst
997,30,burst
998,30,burst
999,30,burst
1000,30,burst
1001,30,burst
1002,30,burst
1003,30,burst
1004,30,burst
1005,30,burst
1006,30,burst
1007,30,burst
1008,30,burst
1009,30,burst
1010,30,burst
1011,30,burst
1012,30,burst
1013,30,burst
1014,30,burst
1015,30,burst
1016,30,burst
1017,30,burst
1018,30,burst
1019,30,burst
1020,30,burst
1021,30,burst
1022,30,burst
1023,30,burst
1024,30,burst
1025,30,burst
1026,30,burst
1027,30,burst
1028,30,burst
1029,30,burst
1030,30,burst
1031,30,burst
1032,30,burst
1033,30,burst
1034,30,burst
1035,30,burst
1036,30,burst
1037,30,burst
1038,30,burst
1039,30,burst
1040,30,burst
1041,30,burst
1042,30,burst
1043,30,burst
1044,30,burst
1045,30,burst
1046,30,burst
1047,30,burst
1048,30,burst
1049,30,burst
1050,30,burst
1051,30,burst
1052,30,burst
1053,30,burst
1054,30,burst
1055,30,burst
1056,30,burst
1057,30,burst
1058,30,burst
1059,30,burst
1060,30,burst
1061,30,burst
1062,30,burst
1063,30,burst
1064,30,burst
1065,30,burst
1066,30,burst
1067,30,burst
1068,30,burst
1069,30,burst
1070,30,burst
1071,30,burst
1072,30,burst
1073,30,burst
1074,30,burst
1075,30,burst
1076,30,burst
1077,30,burst
1078,30,burst
1079,30,burst
1080,30,burst
1081,30,burst
1082,30,burst
1083,30,burst
1084,30,burst
1085,30,burst
1086,30,burst
1087,30,burst
1088,30,burst
1089,30,burst
1090,30,burst
1091,30,burst
1092,30,burst
1093,30,burst
1094,30,burst
1095,30,burst
1096,30,burst
1097,30,burst
1098,30,burst
1099,30,burst
1100,30,burst
1101,30,burst
1102,30,burst
